SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1828 Page St,San Francisco,CA,94117,1395000,2,2.0,San Francisco,1134,3402,1900,5,1230,326,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1828-Page-St-94117/home/2032810,San Francisco MLS,421576317,N,Y,37.770733,-122.450991
MLS Listing,,Single Family Residential,153 Wool St,San Francisco,CA,94110,1795000,3,2.5,San Francisco,1426,1770,1907,5,1259,,Active,August-1-2021 02:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/153-Wool-St-94110/home/1543562,San Francisco MLS,421578252,N,Y,37.7397525,-122.4169396
MLS Listing,,Condo/Co-op,115 Collingwood St,San Francisco,CA,94114,1629000,3,2.0,San Francisco,1665,,1907,5,978,505,Active,,,http://www.redfin.com/CA/San-Francisco/115-Collingwood-St-94114/home/173336285,San Francisco MLS,421577103,N,Y,37.760511,-122.435765
MLS Listing,,Single Family Residential,69 Arbor St,San Francisco,CA,94131,2595000,4,3.5,San Francisco,2625,3690,,6,989,,Active,July-29-2021 05:30 PM,July-29-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/69-Arbor-St-94131/home/809196,San Francisco MLS,421578181,N,Y,37.737595,-122.4357645
MLS Listing,,Condo/Co-op,150 Lombard St #405,San Francisco,CA,94111,985000,2,1.0,San Francisco,1105,,1975,6,891,1122,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/150-156-Lombard-St-94111/unit-405/home/114067168,San Francisco MLS,421576127,N,Y,37.8044502,-122.4041782
MLS Listing,,Condo/Co-op,159 Shipley St,SAN FRANCISCO,CA,94107,899900,2,1.0,SAN FRANCISCO,801,,1992,6,1123,599,Active,August-1-2021 02:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/159-Shipley-94107/home/1985780,MLSListings,ML81855215,N,Y,37.780389,-122.401735
MLS Listing,,Condo/Co-op,3414 California St,San Francisco,CA,94118,1438000,2,2.5,San Francisco,1230,3318,2006,6,1169,400,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/3414-California-St-94118/home/589776,San Francisco MLS,421576410,N,Y,37.7869633,-122.4506866
MLS Listing,,Single Family Residential,1831 Balboa St,SAN FRANCISCO,CA,94121,1999000,2,2.0,SAN FRANCISCO,2215,2495,1916,6,902,,Active,,,http://www.redfin.com/CA/San-Francisco/1831-Balboa-St-94121/home/619017,MLSListings,ML81855202,N,Y,37.7763919,-122.4786243
MLS Listing,,Single Family Residential,2531 42nd Ave,San Francisco,CA,94116,1595000,3,2.0,San Francisco,1656,2996,1955,6,963,,Active,July-29-2021 05:30 PM,July-29-2021 07:30 PM,http://www.redfin.com/CA/San-Francisco/2531-42nd-Ave-94116/home/1509288,San Francisco MLS,421578111,N,Y,37.7394764,-122.5004312
MLS Listing,,Condo/Co-op,201 Folsom St Unit 40E,San Francisco,CA,94105,3685000,3,3.0,San Francisco,1784,75406,2016,6,2066,1325,Active,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-40E/home/144064171,San Francisco MLS,421578126,N,Y,37.7887059,-122.3922385
